"","outcome","continuouspredictor","phylogeny","estimate lower","estimate upper","association_present"
"270","perc_won","sexbias_dispersal Male minus Female","Yes",-0.224010114501351,0.467631203713327,"not"
"271","strict three way","sexbias_dispersal Female minus Both","No",-0.294316549942814,0.21785326844147,"not"
"272","strict three way","sexbias_dispersal Male minus Both","No",-0.209031797465973,0.246233580332195,"not"
"273","strict three way","sexbias_dispersal Male minus Female","No",-0.173280417497208,0.307266647178552,"not"
"274","strict three way","sexbias_dispersal Female minus Both","Yes",-0.296720738061481,0.226244080167696,"not"
"275","strict three way","sexbias_dispersal Male minus Both","Yes",-0.231461695888187,0.253431345440232,"not"
"276","strict three way","sexbias_dispersal Male minus Female","Yes",-0.204087232749113,0.307209654366784,"not"
"277","strict female dominance","sexbias_dispersal Female minus Both","No",-0.30251122167811,0.20462506783396,"not"
"278","strict female dominance","sexbias_dispersal Male minus Both","No",-0.168247562993478,0.260117581699244,"not"
"279","strict female dominance","sexbias_dispersal Male minus Female","No",-0.129018677796911,0.32283133579038,"not"
"280","strict female dominance","sexbias_dispersal Female minus Both","Yes",-0.307214844501748,0.209754158285645,"not"
"281","strict female dominance","sexbias_dispersal Male minus Both","Yes",-0.218436314135438,0.243364675430309,"not"
"282","strict female dominance","sexbias_dispersal Male minus Female","Yes",-0.178107902654063,0.323172486595122,"not"
"283","strict male dominance","sexbias_dispersal Female minus Both","No",-0.20230595970313,0.29680527140274,"not"
"284","strict male dominance","sexbias_dispersal Male minus Both","No",-0.382107379554243,0.0126398060584786,"not"
"285","strict male dominance","sexbias_dispersal Male minus Female","No",-0.429152761499812,-0.0319039950812305,"confident"
"286","strict male dominance","sexbias_dispersal Female minus Both","Yes",-0.255123816216091,0.263373763448421,"not"
"287","strict male dominance","sexbias_dispersal Male minus Both","Yes",-0.335888458180832,0.183262251393497,"not"
"288","strict male dominance","sexbias_dispersal Male minus Female","Yes",-0.330684567510585,0.197191481219914,"not"
"289","perc_won","jointaggression_females Yes minus No","No",0.0121186304532835,0.091440025005201,"confident"
"290","perc_won","jointaggression_females Yes minus No","Yes",-0.402474900511468,-0.0667772013590915,"confident"
"291","strict three way","jointaggression_females Yes minus No","No",-0.196657515656842,0.19981777616665,"not"
"292","strict three way","jointaggression_females Yes minus No","Yes",-0.205795403375935,0.204222052896439,"not"
"293","strict female dominance","jointaggression_females Yes minus No","No",-0.148016468744456,0.226248760927598,"not"
"294","strict female dominance","jointaggression_females Yes minus No","Yes",-0.184671423131361,0.211402867949311,"not"
"295","strict male dominance","jointaggression_females Yes minus No","No",-0.267241511820033,0.056831862321767,"not"
"296","strict male dominance","jointaggression_females Yes minus No","Yes",-0.261326460539445,0.231931200962347,"not"
